Title,Word,n,nwords
0,"Человек, потерявший лицо",в,562,22394
1,"Человек, потерявший лицо",большом,2,22394
2,"Человек, потерявший лицо",саду,2,22394
3,"Человек, потерявший лицо",посредине,2,22394
4,"Человек, потерявший лицо",молодой,24,22394
5,"Человек, потерявший лицо",эвкалиптовой,1,22394
6,"Человек, потерявший лицо",рощи,1,22394
7,"Человек, потерявший лицо",стояла,5,22394
8,"Человек, потерявший лицо",китайская,1,22394
9,"Человек, потерявший лицо",беседка,1,22394
10,"Человек, потерявший лицо",к,119,22394
11,"Человек, потерявший лицо",этой,14,22394
12,"Человек, потерявший лицо",беседке,1,22394
13,"Человек, потерявший лицо",ровно,2,22394
14,"Человек, потерявший лицо",девять,1,22394
15,"Человек, потерявший лицо",часов,11,22394
16,"Человек, потерявший лицо",утра,7,22394
17,"Человек, потерявший лицо",подошел,9,22394
18,"Человек, потерявший лицо",человек,42,22394
19,"Человек, потерявший лицо",белом,1,22394
20,"Человек, потерявший лицо",фланелевом,2,22394
21,"Человек, потерявший лицо",костюме,6,22394
22,"Человек, потерявший лицо",и,846,22394
23,"Человек, потерявший лицо",панаме,5,22394
24,"Человек, потерявший лицо",наружность,3,22394
25,"Человек, потерявший лицо",молодого,12,22394
26,"Человек, потерявший лицо",человека,32,22394
27,"Человек, потерявший лицо",невольно,3,22394
28,"Человек, потерявший лицо",привлекала,1,22394
29,"Человек, потерявший лицо",внимание,5,22394
30,"Человек, потерявший лицо",очень,48,22394
31,"Человек, потерявший лицо",короткие,1,22394
32,"Человек, потерявший лицо",руки,21,22394
33,"Человек, потерявший лицо",ноги,8,22394
34,"Человек, потерявший лицо",непомерно,1,22394
35,"Человек, потерявший лицо",большая,2,22394
36,"Человек, потерявший лицо",голова,5,22394
37,"Человек, потерявший лицо",большие,4,22394
38,"Человек, потерявший лицо",отвислые,1,22394
39,"Человек, потерявший лицо",уши,4,22394
40,"Человек, потерявший лицо",нос,21,22394
41,"Человек, потерявший лицо",поражал,1,22394
42,"Человек, потерявший лицо",больше,26,22394
43,"Человек, потерявший лицо",всего,20,22394
44,"Человек, потерявший лицо",у,108,22394
45,"Человек, потерявший лицо",корня,2,22394
46,"Человек, потерявший лицо",западал,1,22394
47,"Человек, потерявший лицо",а,116,22394
48,"Человек, потерявший лицо",концу,1,22394
49,"Человек, потерявший лицо",расширялся,1,22394
50,"Человек, потерявший лицо",даже,31,22394
51,"Человек, потерявший лицо",загибался,1,22394
52,"Человек, потерявший лицо",немного,6,22394
53,"Человек, потерявший лицо",вверх,9,22394
54,"Человек, потерявший лицо",туфлею,2,22394
55,"Человек, потерявший лицо",все,112,22394
56,"Человек, потерявший лицо",движения,5,22394
57,"Человек, потерявший лицо",были,49,22394
58,"Человек, потерявший лицо",быстры,1,22394
59,"Человек, потерявший лицо",угловаты,1,22394
60,"Человек, потерявший лицо",неожиданны,1,22394
61,"Человек, потерявший лицо",он,238,22394
62,"Человек, потерявший лицо",никак,1,22394
63,"Человек, потерявший лицо",не,487,22394
64,"Человек, потерявший лицо",мог,27,22394
65,"Человек, потерявший лицо",быть,44,22394
66,"Человек, потерявший лицо",причислен,1,22394
67,"Человек, потерявший лицо",красавцам,1,22394
68,"Человек, потерявший лицо",тем,23,22394
69,"Человек, потерявший лицо",менее,8,22394
70,"Человек, потерявший лицо",ничего,14,22394
71,"Человек, потерявший лицо",отталкивающего,1,22394
72,"Человек, потерявший лицо",его,161,22394
73,"Человек, потерявший лицо",внешности,2,22394
74,"Человек, потерявший лицо",было,72,22394
75,"Человек, потерявший лицо",наоборот,2,22394
76,"Человек, потерявший лицо",вызывал,1,22394
77,"Человек, потерявший лицо",симпатию,1,22394
78,"Человек, потерявший лицо",необычайной,2,22394
79,"Человек, потерявший лицо",комичностью,2,22394
80,"Человек, потерявший лицо",жестов,4,22394
81,"Человек, потерявший лицо",мимики,2,22394
82,"Человек, потерявший лицо",лица,18,22394
83,"Человек, потерявший лицо",своим,15,22394
84,"Человек, потерявший лицо",уродством,1,22394
85,"Человек, потерявший лицо",возбудить,1,22394
86,"Человек, потерявший лицо",только,73,22394
87,"Человек, потерявший лицо",жалость,1,22394
88,"Человек, потерявший лицо",с,216,22394
89,"Человек, потерявший лицо",носом,6,22394
90,"Человек, потерявший лицо",вошел,8,22394
91,"Человек, потерявший лицо",китайскую,1,22394
92,"Человек, потерявший лицо",беседку,1,22394
93,"Человек, потерявший лицо",оказался,7,22394
94,"Человек, потерявший лицо",кабине,1,22394
