,Title,Word,n,nwords
0,Моби Дик,аркадий,1,4887
1,Моби Дик,стругацкий,2,4887
2,Моби Дик,и,243,4887
3,Моби Дик,борис,1,4887
4,Моби Дик,моби,41,4887
5,Моби Дик,дик,23,4887
6,Моби Дик,к,22,4887
7,Моби Дик,концу,1,4887
8,Моби Дик,октября,1,4887
9,Моби Дик,стада,8,4887
10,Моби Дик,усатых,3,4887
11,Моби Дик,китов,4,4887
12,Моби Дик,кашалотов,4,4887
13,Моби Дик,начинали,1,4887
14,Моби Дик,миграцию,1,4887
15,Моби Дик,в,135,4887
16,Моби Дик,экваториальную,1,4887
17,Моби Дик,зону,1,4887
18,Моби Дик,их,7,4887
19,Моби Дик,принимали,1,4887
20,Моби Дик,малайские,1,4887
21,Моби Дик,индонезийские,1,4887
22,Моби Дик,базы,7,4887
23,Моби Дик,а,25,4887
24,Моби Дик,работники,1,4887
25,Моби Дик,океанской,4,4887
26,Моби Дик,охраны,5,4887
27,Моби Дик,курильско-камчатского-алеутского,1,4887
28,Моби Дик,пояса,2,4887
29,Моби Дик,уходили,2,4887
30,Моби Дик,отпуск,3,4887
31,Моби Дик,или,10,4887
32,Моби Дик,занимались,2,4887
33,Моби Дик,любительским,1,4887
34,Моби Дик,патрулированием,1,4887
35,Моби Дик,помогали,1,4887
36,Моби Дик,океанологическим,1,4887
37,Моби Дик,океанографическим,1,4887
38,Моби Дик,экспедициям,1,4887
39,Моби Дик,зимние,4,4887
40,Моби Дик,месяцы,2,4887
41,Моби Дик,на,89,4887
42,Моби Дик,северо-востоке,1,4887
43,Моби Дик,неприятное,1,4887
44,Моби Дик,время,9,4887
45,Моби Дик,года,2,4887
46,Моби Дик,это,44,4887
47,Моби Дик,бури,5,4887
48,Моби Дик,дожди,1,4887
49,Моби Дик,серое,1,4887
50,Моби Дик,угрюмое,1,4887
51,Моби Дик,небо,5,4887
52,Моби Дик,серый,1,4887
53,Моби Дик,злой,1,4887
54,Моби Дик,океан,8,4887
55,Моби Дик,собственно,2,4887
56,Моби Дик,исправление,1,4887
57,Моби Дик,климатических,1,4887
58,Моби Дик,условий,1,4887
59,Моби Дик,беринговом,1,4887
60,Моби Дик,море,1,4887
61,Моби Дик,южнее,1,4887
62,Моби Дик,не,67,4887
63,Моби Дик,составило,1,4887
64,Моби Дик,бы,16,4887
65,Моби Дик,большого,1,4887
66,Моби Дик,труда,1,4887
67,Моби Дик,достаточно,3,4887
68,Моби Дик,было,23,4887
69,Моби Дик,опустить,1,4887
70,Моби Дик,вдоль,2,4887
71,Моби Дик,дуги,1,4887
72,Моби Дик,кка,1,4887
73,Моби Дик,несколько,3,4887
74,Моби Дик,сотен,1,4887
75,Моби Дик,мезонных,1,4887
76,Моби Дик,реакторов,1,4887
77,Моби Дик,стандартных,1,4887
78,Моби Дик,микропогодных,1,4887
79,Моби Дик,установок,1,4887
80,Моби Дик,какие,1,4887
81,Моби Дик,используются,1,4887
82,Моби Дик,мире,3,4887
83,Моби Дик,уже,12,4887
84,Моби Дик,полстолетия,1,4887
85,Моби Дик,но,31,4887
86,Моби Дик,ни,7,4887
87,Моби Дик,один,6,4887
88,Моби Дик,синоптик,1,4887
89,Моби Дик,мог,3,4887
90,Моби Дик,сказать,1,4887
91,Моби Дик,чему,1,4887
92,Моби Дик,приведет,1,4887
93,Моби Дик,после,1,4887
94,Моби Дик,катастрофы,1,4887
95,Моби Дик,вызванной,1,4887
96,Моби Дик,британских,1,4887
97,Моби Дик,островах,1,4887
98,Моби Дик,попыткой,1,4887
99,Моби Дик,утихомирить,1,4887
100,Моби Дик,бискайский,1,4887
101,Моби Дик,залив,2,4887
102,Моби Дик,мировой,1,4887
103,Моби Дик,совет,1,4887
104,Моби Дик,воспретил,1,4887
105,Моби Дик,такие,3,4887
106,Моби Дик,проекты,1,4887
107,Моби Дик,до,13,4887
108,Моби Дик,тех,2,4887
109,Моби Дик,времен,1,4887
110,Моби Дик,когда,11,4887
111,Моби Дик,теоретическая,1,4887
112,Моби Дик,синоптика,1,4887
113,Моби Дик,будет,5,4887
114,Моби Дик,состоянии,1,4887
115,Моби Дик,предсказывать,1,4887
116,Моби Дик,все,25,4887
117,Моби Дик,долговременные,1,4887
118,Моби Дик,последствия,1,4887
119,Моби Дик,значительных,1,4887
120,Моби Дик,изменений,1,4887
121,Моби Дик,макроклимата,1,4887
122,Моби Дик,поэтому,3,4887
123,Моби Дик,по,29,4887
124,Моби Дик,берегам,1,4887
125,Моби Дик,берингова,1,4887
126,Моби Дик,моря,1,4887
127,Моби Дик,остались,1,4887
128,Моби Дик,почти,1,4887
129,Моби Дик,такими,2,4887
130,Моби Дик,же,12,4887
