,Title,Word,n,nwords
0,Подводные земледельцы,глава,32,41246
1,Подводные земледельцы,нептун,7,41246
2,Подводные земледельцы,иванович,54,41246
3,Подводные земледельцы,огорчен,2,41246
4,Подводные земледельцы,graphic,21,41246
5,Подводные земледельцы,жан,3,41246
6,Подводные земледельцы,иоганн,2,41246
7,Подводные земледельцы,джон,2,41246
8,Подводные земледельцы,джонни,2,41246
9,Подводные земледельцы,джиованни,1,41246
10,Подводные земледельцы,иоанн,1,41246
11,Подводные земледельцы,иван,5,41246
12,Подводные земледельцы,ваня,2,41246
13,Подводные земледельцы,ванюшка,500,41246
14,Подводные земледельцы,а-а-аах,1,41246
15,Подводные земледельцы,кто-то,14,41246
16,Подводные земледельцы,сладко,1,41246
17,Подводные земледельцы,зевнул,1,41246
18,Подводные земледельцы,и,1631,41246
19,Подводные земледельцы,перевернулся,1,41246
20,Подводные земледельцы,на,875,41246
21,Подводные земледельцы,другой,16,41246
22,Подводные земледельцы,бок,1,41246
23,Подводные земледельцы,слышно,4,41246
24,Подводные земледельцы,было,189,41246
25,Подводные земледельцы,как,327,41246
26,Подводные земледельцы,заскрипели,1,41246
27,Подводные земледельцы,пружины,1,41246
28,Подводные земледельцы,кровати,12,41246
29,Подводные земледельцы,тишина,4,41246
30,Подводные земледельцы,снова,15,41246
31,Подводные земледельцы,первый,4,41246
32,Подводные земледельцы,голос,21,41246
33,Подводные земледельцы,начинает,2,41246
34,Подводные земледельцы,выкликать,1,41246
35,Подводные земледельцы,с,457,41246
36,Подводные земледельцы,разными,1,41246
37,Подводные земледельцы,интонациями,1,41246
38,Подводные земледельцы,то,107,41246
39,Подводные земледельцы,повышая,2,41246
40,Подводные земледельцы,понижая,2,41246
41,Подводные земледельцы,силу,6,41246
42,Подводные земледельцы,звука,1,41246
43,Подводные земледельцы,вдруг,79,41246
44,Подводные земледельцы,крикнул,25,41246
45,Подводные земледельцы,изо,5,41246
46,Подводные земледельцы,всех,14,41246
47,Подводные земледельцы,сия,1,41246
48,Подводные земледельцы,ванька,1,41246
49,Подводные земледельцы,шельмец,1,41246
50,Подводные земледельцы,стань,1,41246
51,Подводные земледельцы,передо,2,41246
52,Подводные земледельцы,мной,11,41246
53,Подводные земледельцы,лист,2,41246
