,Title,Word,n,nwords
0,Попытка к бегству,аркадий,1,28230
1,Попытка к бегству,и,1095,28230
2,Попытка к бегству,борис,1,28230
3,Попытка к бегству,стругацкие,1,28230
4,Попытка к бегству,попытка,1,28230
5,Попытка к бегству,к,129,28230
6,Попытка к бегству,бегству,1,28230
7,Попытка к бегству,i,2,28230
8,Попытка к бегству,хороший,3,28230
9,Попытка к бегству,сегодня,5,28230
10,Попытка к бегству,будет,43,28230
11,Попытка к бегству,день,6,28230
12,Попытка к бегству,сказал,401,28230
13,Попытка к бегству,вслух,3,28230
14,Попытка к бегству,вадим,388,28230
15,Попытка к бегству,он,593,28230
16,Попытка к бегству,стоял,17,28230
17,Попытка к бегству,перед,39,28230
18,Попытка к бегству,распахнутой,3,28230
19,Попытка к бегству,стеной,2,28230
20,Попытка к бегству,похлопывая,1,28230
21,Попытка к бегству,себя,28,28230
22,Попытка к бегству,по,117,28230
23,Попытка к бегству,голым,1,28230
24,Попытка к бегству,плечам,1,28230
25,Попытка к бегству,глядел,14,28230
26,Попытка к бегству,в,610,28230
27,Попытка к бегству,сад,3,28230
28,Попытка к бегству,ночью,3,28230
29,Попытка к бегству,шел,8,28230
30,Попытка к бегству,дождь,2,28230
31,Попытка к бегству,трава,2,28230
32,Попытка к бегству,была,39,28230
33,Попытка к бегству,мокрая,2,28230
34,Попытка к бегству,кусты,2,28230
35,Попытка к бегству,были,44,28230
36,Попытка к бегству,мокрые,3,28230
37,Попытка к бегству,крыша,2,28230
38,Попытка к бегству,соседнего,1,28230
39,Попытка к бегству,коттеджа,2,28230
40,Попытка к бегству,тоже,40,28230
41,Попытка к бегству,небо,14,28230
42,Попытка к бегству,было,121,28230
43,Попытка к бегству,серое,3,28230
44,Попытка к бегству,а,252,28230
45,Попытка к бегству,на,594,28230
46,Попытка к бегству,тропинке,3,28230
47,Попытка к бегству,блестели,2,28230
48,Попытка к бегству,лужи,2,28230
49,Попытка к бегству,подтянул,1,28230
50,Попытка к бегству,трусы,1,28230
51,Попытка к бегству,спрыгнул,3,28230
52,Попытка к бегству,траву,4,28230
53,Попытка к бегству,побежал,5,28230
54,Попытка к бегству,глубоко,4,28230
55,Попытка к бегству,с,315,28230
56,Попытка к бегству,шумом,3,28230
57,Попытка к бегству,вдыхая,1,28230
58,Попытка к бегству,сырой,2,28230
59,Попытка к бегству,утренний,1,28230
60,Попытка к бегству,воздух,9,28230
61,Попытка к бегству,бежал,1,28230
62,Попытка к бегству,мимо,10,28230
63,Попытка к бегству,отсыревших,1,28230
64,Попытка к бегству,шезлонгов,1,28230
65,Попытка к бегству,мокрых,2,28230
66,Попытка к бегству,ящиков,2,28230
67,Попытка к бегству,тюков,1,28230
68,Попытка к бегству,соседского,1,28230
69,Попытка к бегству,палисадника,1,28230
70,Попытка к бегству,где,33,28230
71,Попытка к бегству,выставив,2,28230
72,Попытка к бегству,напоказ,1,28230
73,Попытка к бегству,внутренности,5,28230
74,Попытка к бегству,красовался,1,28230
75,Попытка к бегству,полуразобранный,1,28230
76,Попытка к бегству,колибри,7,28230
77,Попытка к бегству,через,39,28230
78,Попытка к бегству,пышно,1,28230
79,Попытка к бегству,разросшиеся,1,28230
80,Попытка к бегству,между,20,28230
81,Попытка к бегству,стволами,1,28230
82,Попытка к бегству,сосен,3,28230
83,Попытка к бегству,не,547,28230
84,Попытка к бегству,останавливаясь,1,28230
85,Попытка к бегству,прыгнул,3,28230
86,Попытка к бегству,озерцо,1,28230
87,Попытка к бегству,выбрался,4,28230
88,Попытка к бегству,противоположный,1,28230
89,Попытка к бегству,берег,1,28230
90,Попытка к бегству,поросший,1,28230
91,Попытка к бегству,осокой,1,28230
92,Попытка к бегству,оттуда,2,28230
93,Попытка к бегству,разгоряченный,1,28230
94,Попытка к бегству,очень,60,28230
95,Попытка к бегству,довольный,1,28230
96,Попытка к бегству,собой,13,28230
97,Попытка к бегству,все,167,28230
98,Попытка к бегству,наращивая,1,28230
99,Попытка к бегству,темп,1,28230
100,Попытка к бегству,помчался,2,28230
101,Попытка к бегству,обратно,7,28230
102,Попытка к бегству,перепрыгивая,1,28230
103,Попытка к бегству,огромные,2,28230
104,Попытка к бегству,спокойные,1,28230
105,Попытка к бегству,распугивая,1,28230
106,Попытка к бегству,маленьких,2,28230
107,Попытка к бегству,серых,4,28230
108,Попытка к бегству,лягушек,1,28230
109,Попытка к бегству,прямо,22,28230
110,Попытка к бегству,лужайке,1,28230
111,Попытка к бегству,антоновым,1,28230
112,Попытка к бегству,коттеджем,1,28230
113,Попытка к бегству,корабль,41,28230
114,Попытка к бегству,был,70,28230
115,Попытка к бегству,совсем,20,28230
116,Попытка к бегству,молодой,2,28230
117,Попытка к бегству,ему,35,28230
118,Попытка к бегству,исполнилось,2,28230
119,Попытка к бегству,двух,6,28230
120,Попытка к бегству,лет,15,28230
121,Попытка к бегству,черные,12,28230
122,Попытка к бегству,матовые,2,28230
123,Попытка к бегству,его,132,28230
124,Попытка к бегству,бока,1,28230
125,Попытка к бегству,абсолютно,3,28230
126,Попытка к бегству,сухи,1,28230
127,Попытка к бегству,едва,8,28230
128,Попытка к бегству,заметно,1,28230
129,Попытка к бегству,колыхались,1,28230
130,Попытка к бегству,острая,1,28230
131,Попытка к бегству,вершина,1,28230
132,Попытка к бегству,сильно,6,28230
133,Попытка к бегству,наклонена,1,28230
134,Попытка к бегству,направлена,1,28230
135,Попытка к бегству,ту,4,28230
136,Попытка к бегству,точку,1,28230
137,Попытка к бегству,серого,1,28230
138,Попытка к бегству,неба,2,28230
139,Попытка к бегству,за,108,28230
140,Попытка к бегству,тучами,2,28230
141,Попытка к бегству,находилось,1,28230
142,Попытка к бегству,солнце,5,28230
143,Попытка к бегству,привычке,1,28230
144,Попытка к бегству,набирал,2,28230
145,Попытка к бегству,энергию,2,28230
146,Попытка к бегству,высокая,2,28230
147,Попытка к бегству,вокруг,30,28230
148,Попытка к бегству,корабля,13,28230
149,Попытка к бегству,покрыта,1,28230
150,Попытка к бегству,инеем,1,28230
151,Попытка к бегству,поникла,1,28230
152,Попытка к бегству,пожелтела,1,28230
153,Попытка к бегству,впрочем,10,28230
154,Попытка к бегству,это,237,28230
155,Попытка к бегству,приличный,1,28230
156,Попытка к бегству,тихого,1,28230
157,Попытка к бегству,нрава,1,28230
158,Попытка к бегству,звездолет,5,28230
159,Попытка к бегству,типа,3,28230
160,Попытка к бегству,турист,1,28230
161,Попытка к бегству,рейсовый,1,28230
162,Попытка к бегству,рабочий,2,28230
163,Попытка к бегству,ночь,4,28230
164,Попытка к бегству,выморозил,1,28230
165,Попытка к бегству,бы,69,28230
166,Попытка к бегству,весь,10,28230
167,Попытка к бегству,лес,1,28230
168,Попытка к бегству,десять,4,28230
169,Попытка к бегству,километров,11,28230
170,Попытка к бегству,оскальзываясь,1,28230
171,Попытка к бегству,поворотах,1,28230
172,Попытка к бегству,обежал,1,28230
173,Попытка к бегству,направился,5,28230
174,Попытка к бегству,домой,7,28230
175,Попытка к бегству,пока,17,28230
176,Попытка к бегству,стеная,1,28230
177,Попытка к бегству,от,79,28230
178,Попытка к бегству,наслаждения,1,28230
179,Попытка к бегству,растирался,1,28230
180,Попытка к бегству,мохнатым,1,28230
181,Попытка к бегству,полотенцем,2,28230
182,Попытка к бегству,из,87,28230
183,Попытка к бегству,дачи,1,28230
184,Попытка к бегству,напротив,1,28230
185,Попытка к бегству,вышел,10,28230
186,Попытка к бегству,сосед,5,28230
187,Попытка к бегству,дядя,29,28230
188,Попытка к бегству,саша,25,28230
189,Попытка к бегству,со,29,28230
190,Попытка к бегству,скальпелем,5,28230
191,Попытка к бегству,руке,7,28230
192,Попытка к бегству,помахал,4,28230
193,Попытка к бегству,соседу,1,28230
194,Попытка к бегству,полтораста,2,28230
195,Попытка к бегству,день-деньской,1,28230
196,Попытка к бегству,возился,1,28230
197,Попытка к бегству,своим,5,28230
198,Попытка к бегству,вертолетом,2,28230
199,Попытка к бегству,но,102,28230
200,Попытка к бегству,втуне,1,28230
201,Попытка к бегству,летал,1,28230
202,Попытка к бегству,неохотно,4,28230
203,Попытка к бегству,задумчиво,11,28230
204,Попытка к бегству,поглядел,13,28230
205,Попытка к бегству,вадима,38,28230
206,Попытка к бегству,у,139,28230
207,Попытка к бегству,тебя,23,28230
208,Попытка к бегству,нет,66,28230
209,Попытка к бегству,запасных,1,28230
210,Попытка к бегству,биоэлементов,1,28230
211,Попытка к бегству,спросил,57,28230
212,Попытка к бегству,что,305,28230
213,Попытка к бегству,сгорели,1,28230
214,Попытка к бегству,знаю,24,28230
215,Попытка к бегству,них,35,28230
216,Попытка к бегству,ненормальная,1,28230
217,Попытка к бегству,характеристика,1,28230
218,Попытка к бегству,можно,27,28230
219,Попытка к бегству,связаться,1,28230
220,Попытка к бегству,антоном,8,28230
221,Попытка к бегству,предложил,5,28230
222,Попытка к бегству,сейчас,54,28230
223,Попытка к бегству,городе,3,28230
224,Попытка к бегству,пусть,15,28230
225,Попытка к бегству,привезет,2,28230
226,Попытка к бегству,вам,45,28230
227,Попытка к бегству,парочку,1,28230
228,Попытка к бегству,подошел,10,28230
229,Попытка к бегству,вертолету,1,28230
230,Попытка к бегству,стукнул,1,28230
231,Попытка к бегству,носу,1,28230
232,Попытка к бегству,же,122,28230
233,Попытка к бегству,ты,85,28230
234,Попытка к бегству,летаешь,1,28230
235,Попытка к бегству,дурачок,1,28230
236,Попытка к бегству,сердито,4,28230
237,Попытка к бегству,принялся,7,28230
238,Попытка к бегству,одеваться,1,28230
239,Попытка к бегству,биоэлементы…,1,28230
240,Попытка к бегству,ворчал,1,28230
241,Попытка к бегству,запуская,1,28230
242,Попытка к бегству,скальпель,9,28230
243,Попытка к бегству,во,17,28230
244,Попытка к бегству,кому,7,28230
245,Попытка к бегству,надо,40,28230
246,Попытка к бегству,живые,4,28230
247,Попытка к бегству,механизмы…,3,28230
248,Попытка к бегству,полуживые,1,28230
249,Попытка к бегству,почти,11,28230
250,Попытка к бегству,неживые,1,28230
251,Попытка к бегству,ни,36,28230
252,Попытка к бегству,монтажа,1,28230
253,Попытка к бегству,электроники…,1,28230
254,Попытка к бегству,одни,3,28230
255,Попытка к бегству,нервы,3,28230
256,Попытка к бегству,простите,5,28230
257,Попытка к бегству,я,256,28230
258,Попытка к бегству,хирург,1,28230
259,Попытка к бегству,вертолет,6,28230
260,Попытка к бегству,дернулся,1,28230
261,Попытка к бегству,тихо,14,28230
262,Попытка к бегству,животное,2,28230
263,Попытка к бегству,стой,2,28230
264,Попытка к бегству,смирно,2,28230
265,Попытка к бегству,извлек,1,28230
266,Попытка к бегству,повернулся,10,28230
267,Попытка к бегству,вадиму,13,28230
268,Попытка к бегству,негуманно,1,28230
269,Попытка к бегству,наконец,12,28230
270,Попытка к бегству,объявил,6,28230
271,Попытка к бегству,бедная,1,28230
272,Попытка к бегству,испорченная,1,28230
273,Попытка к бегству,машина,9,28230
274,Попытка к бегству,превращается,1,28230
275,Попытка к бегству,сплошной,2,28230
276,Попытка к бегству,больной,4,28230
277,Попытка к бегству,зуб,1,28230
278,Попытка к бегству,может,51,28230
279,Попытка к бегству,быть,55,28230
280,Попытка к бегству,слишком,7,28230
281,Попытка к бегству,старомоден,1,28230
282,Попытка к бегству,мне,56,28230
283,Попытка к бегству,ее,15,28230
284,Попытка к бегству,жалко,8,28230
285,Попытка к бегству,понимаешь,6,28230
286,Попытка к бегству,пробормотал,19,28230
287,Попытка к бегству,натягивая,1,28230
288,Попытка к бегству,рубашку,1,28230
289,Попытка к бегству,говорю,4,28230
290,Попытка к бегству,помочь,4,28230
291,Попытка к бегству,некоторое,9,28230
292,Попытка к бегству,время,30,28230
293,Попытка к бегству,переводил,1,28230
294,Попытка к бегству,взгляд,3,28230
295,Попытка к бегству,вертолета,2,28230
296,Попытка к бегству,решительно,3,28230
297,Попытка к бегству,желаю,1,28230
298,Попытка к бегству,применяться,1,28230
299,Попытка к бегству,обстоятельствам,1,28230
300,Попытка к бегству,меня,54,28230
301,Попытка к бегству,летать,1,28230
302,Попытка к бегству,сел,19,28230
303,Попытка к бегству,завтракать,1,28230
304,Попытка к бегству,включил,11,28230
305,Попытка к бегству,стереовизор,1,28230
306,Попытка к бегству,положил,11,28230
307,Попытка к бегству,новейшие,1,28230
308,Попытка к бегству,приемы,2,28230
309,Попытка к бегству,выслеживания,1,28230
310,Попытка к бегству,тахоргов,10,28230
311,Попытка к бегству,книга,1,28230
312,Попытка к бегству,старинная,1,28230
313,Попытка к бегству,бумажная,1,28230
314,Попытка к бегству,читаная-перечитаная,1,28230
315,Попытка к бегству,еще,71,28230
316,Попытка к бегству,дедом,1,28230
317,Попытка к бегству,обложке,1,28230
318,Попытка к бегству,изображен,1,28230
319,Попытка к бегству,пейзаж,1,28230
320,Попытка к бегству,планеты-заповедника,1,28230
321,Попытка к бегству,пандоры,2,28230
322,Попытка к бегству,двумя,3,28230
323,Попытка к бегству,чудовищами,1,28230
324,Попытка к бегству,первом,1,28230
325,Попытка к бегству,плане,3,28230
326,Попытка к бегству,ел,4,28230
