,Title,Word,n,nwords
0,Продавец воздуха,глава,21,34763
1,Продавец воздуха,окаянный,2,34763
2,Продавец воздуха,край,6,34763
3,Продавец воздуха,graphic,20,34763
4,Продавец воздуха,так,119,34763
5,Продавец воздуха,писатель,1,34763
6,Продавец воздуха,в.,1,34763
7,Продавец воздуха,г.,1,34763
8,Продавец воздуха,короленко,1,34763
9,Продавец воздуха,назвал,2,34763
10,Продавец воздуха,туруханский,1,34763
11,Продавец воздуха,но,341,34763
12,Продавец воздуха,название,2,34763
13,Продавец воздуха,это,232,34763
14,Продавец воздуха,вполне,8,34763
15,Продавец воздуха,приложимо,1,34763
16,Продавец воздуха,и,1150,34763
17,Продавец воздуха,к,174,34763
18,Продавец воздуха,якутии,4,34763
19,Продавец воздуха,печальная,1,34763
20,Продавец воздуха,тощая,1,34763
21,Продавец воздуха,растительность,1,34763
22,Продавец воздуха,в,826,34763
23,Продавец воздуха,местах,7,34763
24,Продавец воздуха,защищенных,1,34763
25,Продавец воздуха,от,147,34763
26,Продавец воздуха,ветра,13,34763
27,Продавец воздуха,хилые,2,34763
28,Продавец воздуха,кедры,2,34763
29,Продавец воздуха,тополь,1,34763
30,Продавец воздуха,да,53,34763
31,Продавец воздуха,корявые,3,34763
32,Продавец воздуха,березки,1,34763
33,Продавец воздуха,дальше,15,34763
34,Продавец воздуха,северу,2,34763
35,Продавец воздуха,как,256,34763
36,Продавец воздуха,будто,46,34763
37,Продавец воздуха,скрюченный,1,34763
38,Продавец воздуха,болезнью,1,34763
39,Продавец воздуха,кустарник,1,34763
40,Продавец воздуха,ползучая,1,34763
41,Продавец воздуха,береза,1,34763
42,Продавец воздуха,стелющаяся,1,34763
43,Продавец воздуха,по,140,34763
44,Продавец воздуха,земле,10,34763
45,Продавец воздуха,ольха,1,34763
46,Продавец воздуха,вереск,1,34763
47,Продавец воздуха,еще,123,34763
48,Продавец воздуха,болота,4,34763
49,Продавец воздуха,мхи,2,34763
50,Продавец воздуха,когда,77,34763
51,Продавец воздуха,глядишь,1,34763
52,Продавец воздуха,на,557,34763
53,Продавец воздуха,эти,26,34763
54,Продавец воздуха,пришибленные,1,34763
55,Продавец воздуха,деревья,3,34763
56,Продавец воздуха,кустарники,1,34763
57,Продавец воздуха,бессильно,2,34763
58,Продавец воздуха,льнущие,1,34763
59,Продавец воздуха,кажется,6,34763
60,Продавец воздуха,несчастные,1,34763
61,Продавец воздуха,растения,2,34763
62,Продавец воздуха,хотят,3,34763
63,Продавец воздуха,уйти,3,34763
64,Продавец воздуха,глубину,1,34763
65,Продавец воздуха,скрыться,2,34763
66,Продавец воздуха,леденящих,1,34763
67,Продавец воздуха,ветров,7,34763
68,Продавец воздуха,не,773,34763
69,Продавец воздуха,видеть,8,34763
70,Продавец воздуха,этого,32,34763
71,Продавец воздуха,окаянного,2,34763
72,Продавец воздуха,края,6,34763
73,Продавец воздуха,куда,13,34763
74,Продавец воздуха,закинула,1,34763
75,Продавец воздуха,их,58,34763
76,Продавец воздуха,злая,2,34763
77,Продавец воздуха,судьба,4,34763
78,Продавец воздуха,если,83,34763
79,Продавец воздуха,бы,122,34763
80,Продавец воздуха,воля,2,34763
81,Продавец воздуха,они,67,34763
82,Продавец воздуха,вытащили,3,34763
83,Продавец воздуха,из,119,34763
84,Продавец воздуха,мерзлой,2,34763
85,Продавец воздуха,земли,17,34763
86,Продавец воздуха,свои,15,34763
87,Продавец воздуха,корни,1,34763
88,Продавец воздуха,поползли,1,34763
89,Продавец воздуха,туда,13,34763
90,Продавец воздуха,юг,1,34763
91,Продавец воздуха,где,29,34763
92,Продавец воздуха,благодетельное,1,34763
93,Продавец воздуха,солнце,12,34763
94,Продавец воздуха,тепло,6,34763
95,Продавец воздуха,ласковый,1,34763
96,Продавец воздуха,ветер,45,34763
97,Продавец воздуха,принуждены,3,34763
98,Продавец воздуха,умирать,2,34763
99,Продавец воздуха,там,35,34763
100,Продавец воздуха,родились,1,34763
101,Продавец воздуха,все,169,34763
102,Продавец воздуха,что,398,34763
103,Продавец воздуха,могут,13,34763
104,Продавец воздуха,сделать,10,34763
105,Продавец воздуха,пригнуться,1,34763
106,Продавец воздуха,ниже,25,34763
107,Продавец воздуха,под,20,34763
108,Продавец воздуха,ударами,1,34763
109,Продавец воздуха,судьбы,3,34763
110,Продавец воздуха,ждать,7,34763
111,Продавец воздуха,своей,19,34763
112,Продавец воздуха,участи,3,34763
113,Продавец воздуха,таков,2,34763
114,Продавец воздуха,человек,32,34763
115,Продавец воздуха,он,333,34763
116,Продавец воздуха,сам,20,34763
117,Продавец воздуха,выбирает,1,34763
118,Продавец воздуха,свой,12,34763
119,Продавец воздуха,путь,24,34763
120,Продавец воздуха,свою,21,34763
