,author,Word,n,nwords
0,Беляев,в,2428,98403
1,Беляев,большом,7,98403
2,Беляев,саду,4,98403
3,Беляев,посредине,6,98403
4,Беляев,молодой,38,98403
5,Беляев,эвкалиптовой,1,98403
6,Беляев,рощи,1,98403
7,Беляев,стояла,11,98403
8,Беляев,китайская,1,98403
9,Беляев,беседка,1,98403
10,Беляев,к,549,98403
11,Беляев,этой,69,98403
12,Беляев,беседке,1,98403
13,Беляев,ровно,4,98403
14,Беляев,девять,2,98403
15,Беляев,часов,27,98403
16,Беляев,утра,12,98403
17,Беляев,подошел,32,98403
18,Беляев,человек,114,98403
19,Беляев,белом,4,98403
20,Беляев,фланелевом,2,98403
21,Беляев,костюме,27,98403
22,Беляев,и,3627,98403
23,Беляев,панаме,5,98403
24,Беляев,наружность,3,98403
25,Беляев,молодого,12,98403
26,Беляев,человека,56,98403
27,Беляев,невольно,16,98403
28,Беляев,привлекала,1,98403
29,Беляев,внимание,15,98403
30,Беляев,очень,170,98403
31,Беляев,короткие,1,98403
32,Беляев,руки,104,98403
33,Беляев,ноги,46,98403
34,Беляев,непомерно,1,98403
35,Беляев,большая,12,98403
36,Беляев,голова,23,98403
37,Беляев,большие,16,98403
38,Беляев,отвислые,1,98403
39,Беляев,уши,7,98403
40,Беляев,нос,45,98403
41,Беляев,поражал,1,98403
42,Беляев,больше,108,98403
43,Беляев,всего,60,98403
44,Беляев,у,374,98403
45,Беляев,корня,2,98403
46,Беляев,западал,1,98403
47,Беляев,а,574,98403
48,Беляев,концу,2,98403
49,Беляев,расширялся,2,98403
50,Беляев,даже,129,98403
51,Беляев,загибался,1,98403
52,Беляев,немного,31,98403
53,Беляев,вверх,43,98403
54,Беляев,туфлею,2,98403
55,Беляев,все,460,98403
56,Беляев,движения,14,98403
57,Беляев,были,195,98403
58,Беляев,быстры,1,98403
59,Беляев,угловаты,1,98403
60,Беляев,неожиданны,1,98403
61,Беляев,он,991,98403
62,Беляев,никак,5,98403
63,Беляев,не,1945,98403
64,Беляев,мог,117,98403
65,Беляев,быть,156,98403
66,Беляев,причислен,1,98403
67,Беляев,красавцам,1,98403
68,Беляев,тем,77,98403
69,Беляев,менее,22,98403
70,Беляев,ничего,83,98403
71,Беляев,отталкивающего,1,98403
72,Беляев,его,566,98403
73,Беляев,внешности,3,98403
74,Беляев,было,429,98403
75,Беляев,наоборот,5,98403
76,Беляев,вызывал,1,98403
77,Беляев,симпатию,2,98403
78,Беляев,необычайной,9,98403
79,Беляев,комичностью,2,98403
80,Беляев,жестов,4,98403
81,Беляев,мимики,2,98403
82,Беляев,лица,30,98403
83,Беляев,своим,43,98403
84,Беляев,уродством,1,98403
85,Беляев,возбудить,3,98403
86,Беляев,только,291,98403
87,Беляев,жалость,1,98403
88,Беляев,с,1055,98403
89,Беляев,носом,18,98403
90,Беляев,вошел,25,98403
91,Беляев,китайскую,5,98403
92,Беляев,беседку,1,98403
93,Беляев,оказался,20,98403
94,Беляев,кабине,2,98403
95,Беляев,лифта,6,98403
96,Беляев,лифт,4,98403
97,Беляев,среди,21,98403
98,Беляев,сада,3,98403
99,Беляев,бы,326,98403
100,Беляев,вызвать,8,98403
101,Беляев,удивление,9,98403
102,Беляев,всякого,3,98403
103,Беляев,непосвященного,1,98403
104,Беляев,но,784,98403
105,Беляев,видимо,23,98403
106,Беляев,был,371,98403
107,Беляев,хорошо,85,98403
108,Беляев,знаком,4,98403
109,Беляев,этим,33,98403
110,Беляев,странным,3,98403
111,Беляев,сооружением,1,98403
112,Беляев,кивнув,8,98403
113,Беляев,головой,73,98403
114,Беляев,ответ,16,98403
115,Беляев,на,1788,98403
116,Беляев,приветствие,3,98403
117,Беляев,мальчика,3,98403
118,Беляев,обслуживающего,1,98403
119,Беляев,бросил,10,98403
120,Беляев,короткое,3,98403
121,Беляев,приказание,2,98403
122,Беляев,дно,47,98403
123,Беляев,сделал,46,98403
124,Беляев,такой,70,98403
125,Беляев,выразительный,1,98403
126,Беляев,жест,7,98403
127,Беляев,рукой,35,98403
128,Беляев,как,790,98403
129,Беляев,будто,120,98403
130,Беляев,хотел,46,98403
131,Беляев,проткнуть,1,98403
132,Беляев,землю,30,98403
133,Беляев,до,150,98403
134,Беляев,самой,16,98403
135,Беляев,преисподней,1,98403
136,Беляев,мальчик,8,98403
137,Беляев,удержался,3,98403
138,Беляев,коротко,8,98403
139,Беляев,засмеялся,8,98403
140,Беляев,грозно,4,98403
141,Беляев,посмотрел,57,98403
142,Беляев,это,573,98403
143,Беляев,так,337,98403
144,Беляев,смешно,2,98403
145,Беляев,что,1048,98403
146,Беляев,еще,320,98403
147,Беляев,громче,4,98403
148,Беляев,простите,14,98403
149,Беляев,мистер,152,98403
150,Беляев,я,1325,98403
151,Беляев,могу,42,98403
152,Беляев,право,12,98403
153,Беляев,же,362,98403
154,Беляев,оправдывался,2,98403
155,Беляев,тяжко,4,98403
156,Беляев,вздохнул,18,98403
157,Беляев,подняв,8,98403
158,Беляев,глаза,52,98403
159,Беляев,выражением,3,98403
160,Беляев,покорности,3,98403
161,Беляев,судьбе,3,98403
162,Беляев,сказал,290,98403
163,Беляев,оправдывайся,1,98403
164,Беляев,джон,4,98403
165,Беляев,ты,162,98403
166,Беляев,виноват,4,98403
167,Беляев,я.,28,98403
168,Беляев,мне,294,98403
169,Беляев,суждено,3,98403
170,Беляев,возбуждать,3,98403
171,Беляев,смех,22,98403
172,Беляев,тебе,29,98403
173,Беляев,смеяться,8,98403
174,Беляев,надо,111,98403
175,Беляев,мною,25,98403
176,Беляев,гофман,32,98403
177,Беляев,приехал,4,98403
178,Беляев,двадцать,14,98403
179,Беляев,минут,35,98403
180,Беляев,тому,23,98403
181,Беляев,назад,45,98403
182,Беляев,мисс,39,98403
183,Беляев,гедда,38,98403
184,Беляев,люкс,106,98403
185,Беляев,нет,102,98403
186,Беляев,ну,47,98403
187,Беляев,разумеется,7,98403
188,Беляев,неудовольствием,3,98403
189,Беляев,неожиданно,44,98403
190,Беляев,зашевелился,2,98403
191,Беляев,сверху,9,98403
192,Беляев,вниз,40,98403
193,Беляев,обратно,6,98403
194,Беляев,маленький,21,98403
195,Беляев,хоботок,2,98403
196,Беляев,взвизгнул,2,98403
197,Беляев,от,367,98403
198,Беляев,смеха,18,98403
199,Беляев,этот,157,98403
200,Беляев,момент,28,98403
201,Беляев,кабина,1,98403
202,Беляев,остановилась,9,98403
203,Беляев,бедный,2,98403
204,Беляев,пять,24,98403
205,Беляев,виновен,2,98403
206,Беляев,смерти,20,98403
207,Беляев,невинного,1,98403
208,Беляев,младенца,1,98403
209,Беляев,твои,4,98403
210,Беляев,мучения,1,98403
211,Беляев,окончились,2,98403
212,Беляев,быстро,108,98403
213,Беляев,выскакивая,1,98403
214,Беляев,из,354,98403
215,Беляев,кабины,2,98403
216,Беляев,прошел,23,98403
217,Беляев,широкий,1,98403
218,Беляев,коридор,13,98403
219,Беляев,большой,55,98403
220,Беляев,круглой,2,98403
221,Беляев,комнате,22,98403
222,Беляев,освещенной,3,98403
223,Беляев,сильными,3,98403
224,Беляев,фонарями,6,98403
225,Беляев,после,69,98403
226,Беляев,горячего,2,98403
227,Беляев,несмотря,29,98403
228,Беляев,утренний,2,98403
229,Беляев,час,12,98403
230,Беляев,солнца,16,98403
231,Беляев,здесь,103,98403
232,Беляев,прохладно,1,98403
233,Беляев,облегчением,5,98403
234,Беляев,пересек,1,98403
235,Беляев,круглую,4,98403
236,Беляев,комнату,34,98403
237,Беляев,открыл,30,98403
238,Беляев,дверь,75,98403
239,Беляев,соседнее,1,98403
240,Беляев,помещение,4,98403
241,Беляев,машина,3,98403
242,Беляев,времени,28,98403
243,Беляев,сразу,27,98403
244,Беляев,перенесла,2,98403
245,Беляев,двадцатого,1,98403
246,Беляев,века,5,98403
247,Беляев,немецкое,1,98403
248,Беляев,средневековье,1,98403
249,Беляев,перед,75,98403
250,Беляев,ним,101,98403
251,Беляев,огромный,15,98403
252,Беляев,зал,3,98403
253,Беляев,потолок,4,98403
254,Беляев,которого,27,98403
255,Беляев,замыкался,2,98403
256,Беляев,вверху,7,98403
257,Беляев,узкими,1,98403
258,Беляев,сводами,2,98403
259,Беляев,узкие,6,98403
260,Беляев,высокие,3,98403
261,Беляев,окна,8,98403
262,Беляев,двери,43,98403
263,Беляев,стулья,1,98403
264,Беляев,через,101,98403
265,Беляев,окно,17,98403
266,Беляев,падал,4,98403
267,Беляев,солнечный,4,98403
268,Беляев,свет,69,98403
269,Беляев,оставляя,5,98403
270,Беляев,широких,2,98403
271,Беляев,каменных,1,98403
272,Беляев,плитах,1,98403
273,Беляев,пола,8,98403
274,Беляев,четкий,1,98403
275,Беляев,рисунок,1,98403
276,Беляев,готического,1,98403
277,Беляев,оконного,1,98403
278,Беляев,переплета,1,98403
279,Беляев,полосу,4,98403
280,Беляев,света,17,98403
281,Беляев,остановился,16,98403
282,Беляев,высокой,6,98403
283,Беляев,узкой,6,98403
284,Беляев,мебели,1,98403
285,Беляев,фигура,6,98403
286,Беляев,казалась,3,98403
287,Беляев,особенно,17,98403
288,Беляев,мала,3,98403
289,Беляев,неуклюжа,1,98403
290,Беляев,нелепа,1,98403
291,Беляев,большую,13,98403
292,Беляев,дисгармонию,1,98403
293,Беляев,трудно,27,98403
294,Беляев,представить,3,98403
295,Беляев,случайно,9,98403
296,Беляев,этом,60,98403
297,Беляев,контрасте,1,98403
298,Беляев,строго,7,98403
299,Беляев,продуманный,1,98403
300,Беляев,расчет,4,98403
301,Беляев,режиссера,3,98403
302,Беляев,старый,18,98403
303,Беляев,немецкий,1,98403
304,Беляев,готический,1,98403
305,Беляев,замок,5,98403
306,Беляев,сделан,3,98403
307,Беляев,фанеры,2,98403
308,Беляев,клея,1,98403
309,Беляев,холста,2,98403
310,Беляев,красок,2,98403
