,author,Word,n,nwords
0,Стругацкие,аркадий,3,52204
1,Стругацкие,и,2175,52204
2,Стругацкие,борис,3,52204
3,Стругацкие,стругацкие,2,52204
4,Стругацкие,попытка,1,52204
5,Стругацкие,к,243,52204
6,Стругацкие,бегству,1,52204
7,Стругацкие,i,2,52204
8,Стругацкие,хороший,3,52204
9,Стругацкие,сегодня,12,52204
10,Стругацкие,будет,74,52204
11,Стругацкие,день,9,52204
12,Стругацкие,сказал,845,52204
13,Стругацкие,вслух,3,52204
14,Стругацкие,вадим,388,52204
15,Стругацкие,он,1023,52204
16,Стругацкие,стоял,27,52204
17,Стругацкие,перед,48,52204
18,Стругацкие,распахнутой,3,52204
19,Стругацкие,стеной,2,52204
20,Стругацкие,похлопывая,1,52204
21,Стругацкие,себя,46,52204
22,Стругацкие,по,216,52204
23,Стругацкие,голым,1,52204
24,Стругацкие,плечам,1,52204
25,Стругацкие,глядел,20,52204
26,Стругацкие,в,1197,52204
27,Стругацкие,сад,3,52204
28,Стругацкие,ночью,3,52204
29,Стругацкие,шел,13,52204
30,Стругацкие,дождь,2,52204
31,Стругацкие,трава,2,52204
32,Стругацкие,была,63,52204
33,Стругацкие,мокрая,2,52204
34,Стругацкие,кусты,2,52204
35,Стругацкие,были,78,52204
36,Стругацкие,мокрые,5,52204
37,Стругацкие,крыша,2,52204
38,Стругацкие,соседнего,1,52204
39,Стругацкие,коттеджа,2,52204
40,Стругацкие,тоже,85,52204
41,Стругацкие,небо,20,52204
42,Стругацкие,было,239,52204
43,Стругацкие,серое,4,52204
44,Стругацкие,а,398,52204
45,Стругацкие,на,1086,52204
46,Стругацкие,тропинке,3,52204
47,Стругацкие,блестели,2,52204
48,Стругацкие,лужи,3,52204
49,Стругацкие,подтянул,1,52204
50,Стругацкие,трусы,1,52204
51,Стругацкие,спрыгнул,4,52204
52,Стругацкие,траву,4,52204
53,Стругацкие,побежал,8,52204
54,Стругацкие,глубоко,8,52204
55,Стругацкие,с,511,52204
56,Стругацкие,шумом,6,52204
57,Стругацкие,вдыхая,1,52204
58,Стругацкие,сырой,2,52204
59,Стругацкие,утренний,1,52204
60,Стругацкие,воздух,11,52204
61,Стругацкие,бежал,2,52204
62,Стругацкие,мимо,17,52204
63,Стругацкие,отсыревших,1,52204
64,Стругацкие,шезлонгов,1,52204
65,Стругацкие,мокрых,2,52204
66,Стругацкие,ящиков,2,52204
67,Стругацкие,тюков,1,52204
68,Стругацкие,соседского,1,52204
69,Стругацкие,палисадника,1,52204
70,Стругацкие,где,62,52204
71,Стругацкие,выставив,2,52204
72,Стругацкие,напоказ,1,52204
73,Стругацкие,внутренности,6,52204
74,Стругацкие,красовался,1,52204
75,Стругацкие,полуразобранный,1,52204
76,Стругацкие,колибри,7,52204
77,Стругацкие,через,70,52204
78,Стругацкие,пышно,1,52204
79,Стругацкие,разросшиеся,1,52204
80,Стругацкие,между,26,52204
81,Стругацкие,стволами,1,52204
82,Стругацкие,сосен,3,52204
83,Стругацкие,не,910,52204
84,Стругацкие,останавливаясь,1,52204
85,Стругацкие,прыгнул,3,52204
86,Стругацкие,озерцо,1,52204
87,Стругацкие,выбрался,7,52204
88,Стругацкие,противоположный,1,52204
89,Стругацкие,берег,2,52204
90,Стругацкие,поросший,1,52204
91,Стругацкие,осокой,1,52204
92,Стругацкие,оттуда,5,52204
93,Стругацкие,разгоряченный,1,52204
94,Стругацкие,очень,156,52204
95,Стругацкие,довольный,1,52204
96,Стругацкие,собой,22,52204
97,Стругацкие,все,285,52204
98,Стругацкие,наращивая,1,52204
99,Стругацкие,темп,1,52204
100,Стругацкие,помчался,2,52204
101,Стругацкие,обратно,9,52204
102,Стругацкие,перепрыгивая,1,52204
103,Стругацкие,огромные,5,52204
104,Стругацкие,спокойные,1,52204
105,Стругацкие,распугивая,1,52204
106,Стругацкие,маленьких,2,52204
107,Стругацкие,серых,4,52204
108,Стругацкие,лягушек,1,52204
109,Стругацкие,прямо,28,52204
110,Стругацкие,лужайке,1,52204
111,Стругацкие,антоновым,1,52204
112,Стругацкие,коттеджем,1,52204
113,Стругацкие,корабль,64,52204
114,Стругацкие,был,144,52204
115,Стругацкие,совсем,46,52204
116,Стругацкие,молодой,5,52204
117,Стругацкие,ему,70,52204
118,Стругацкие,исполнилось,2,52204
119,Стругацкие,двух,8,52204
120,Стругацкие,лет,29,52204
121,Стругацкие,черные,17,52204
122,Стругацкие,матовые,2,52204
123,Стругацкие,его,213,52204
124,Стругацкие,бока,3,52204
125,Стругацкие,абсолютно,5,52204
126,Стругацкие,сухи,1,52204
127,Стругацкие,едва,20,52204
128,Стругацкие,заметно,6,52204
129,Стругацкие,колыхались,1,52204
130,Стругацкие,острая,1,52204
131,Стругацкие,вершина,2,52204
132,Стругацкие,сильно,16,52204
133,Стругацкие,наклонена,1,52204
134,Стругацкие,направлена,1,52204
135,Стругацкие,ту,4,52204
136,Стругацкие,точку,5,52204
137,Стругацкие,серого,3,52204
138,Стругацкие,неба,4,52204
139,Стругацкие,за,206,52204
140,Стругацкие,тучами,3,52204
141,Стругацкие,находилось,1,52204
142,Стругацкие,солнце,28,52204
143,Стругацкие,привычке,1,52204
144,Стругацкие,набирал,2,52204
145,Стругацкие,энергию,2,52204
146,Стругацкие,высокая,3,52204
147,Стругацкие,вокруг,44,52204
148,Стругацкие,корабля,19,52204
149,Стругацкие,покрыта,1,52204
150,Стругацкие,инеем,1,52204
151,Стругацкие,поникла,1,52204
152,Стругацкие,пожелтела,1,52204
153,Стругацкие,впрочем,15,52204
154,Стругацкие,это,432,52204
155,Стругацкие,приличный,1,52204
156,Стругацкие,тихого,1,52204
157,Стругацкие,нрава,1,52204
158,Стругацкие,звездолет,5,52204
159,Стругацкие,типа,4,52204
160,Стругацкие,турист,1,52204
161,Стругацкие,рейсовый,1,52204
162,Стругацкие,рабочий,2,52204
163,Стругацкие,ночь,5,52204
164,Стругацкие,выморозил,1,52204
165,Стругацкие,бы,116,52204
